y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,-1.486041,-0.695628,-0.682385,-0.674713,-0.675078,-0.672187,-0.668576,-0.281506,-0.256946,-0.296744,-0.307999,-0.314071,-0.293326
0,-0.616452,-0.418693,-0.411269,-0.385059,-0.42974,-0.659456,-0.63249,-0.255907,0.624502,-0.238869,-0.294083,-0.235265,-0.287251
0,-1.486041,-0.695642,-0.690983,-0.483273,-0.531385,-0.481978,-0.549086,-0.341942,0.328892,0.221014,0.394674,0.089842,-0.244499
0,0.253137,-0.643723,1.413661,0.138401,0.530734,0.641564,0.58978,8.732378,0.203808,1.123115,-0.114393,-0.116991,-0.011447
0,-1.486041,-0.580438,-0.55714,-0.190706,-0.672777,-0.663355,-0.653026,0.233558,1.209473,-0.296801,-0.308063,-0.314136,-0.293382
0,0.253137,0.182613,0.272506,0.358132,0.49293,0.704413,0.209985,-0.040064,-0.03998,-0.012818,0.330267,0.013131,-0.012122
1,0.253137,1.434809,1.484756,1.527405,1.674647,1.789301,1.820648,0.322189,0.220431,0.327962,0.3941,0.405851,0.325389
0,-1.486041,-0.695642,-0.690983,-0.677929,-0.672497,-0.663059,-0.652724,-0.341942,-0.25699,-0.296801,-0.308063,-0.314136,-0.293382
0,1.992316,0.898594,0.98632,1.081208,1.247285,1.386052,1.487113,-0.015914,0.003422,-0.012818,-0.014431,0.013131,-0.006497
0,0.253137,-0.194465,-0.208045,-0.122817,-0.088338,-0.024531,0.01379,-0.245341,0.033803,-0.296801,-0.180397,-0.202865,-0.214629
0,-1.486041,-0.511503,-0.680642,-0.673372,-0.592972,-0.401792,-0.474631,-0.297505,-0.243275,-0.00623,0.705859,0.380062,-0.213504
0,-1.486041,-0.690182,-0.729762,-0.730562,-0.729234,-0.723095,-0.714014,-0.341942,-0.25699,-0.296801,-0.308063,-0.314136,-0.293382
1,-0.616452,-0.679155,-0.677439,-0.660423,-0.665285,-0.659539,-0.661725,-0.311754,-0.213588,-0.296801,-0.276146,-0.314136,-0.293382
0,-0.616452,-0.651586,-0.573818,-0.677929,-0.672497,-0.634126,-0.608663,0.16153,-0.25699,-0.296801,-0.19578,-0.142386,-0.293382
0,0.253137,0.062575,0.158079,0.171495,0.247888,0.069241,-0.123835,0.18091,-0.25699,-0.174688,-0.256996,-0.248683,-0.193197
0,-0.616452,-0.691853,-0.687063,-0.673906,-0.66816,-0.660937,-0.649718,-0.341942,-0.25699,-0.296801,-0.308063,-0.301045,-0.293382
0,0.253137,-0.189263,-0.179382,-0.140352,-0.123453,-0.069287,-0.036065,-0.341942,-0.178866,-0.216491,-0.212313,-0.224007,-0.214517
0,0.253137,-0.621315,-0.585718,-0.606002,-0.490938,-0.554663,-0.652724,-0.203078,-0.25699,-0.291008,-0.212313,-0.314136,-0.293382
0,1.992316,-0.530149,-0.526594,-0.483634,-0.470327,-0.437008,-0.465211,-0.341942,-0.170186,-0.296801,-0.240719,-0.314136,-0.281288
0,-0.616452,0.725211,-0.295972,-0.393019,-0.477912,-0.361592,-0.40288,1.355456,-0.195185,0.414179,0.861867,0.659745,1.661035
0,-0.616452,-0.682618,-0.690983,-0.665686,-0.655088,-0.65768,-0.643808,-0.341942,-0.220141,-0.233189,-0.287189,-0.27938,-0.282807
0,0.253137,-0.619183,-0.597844,-0.592591,-0.564961,-0.54889,-0.572863,-0.275106,-0.213588,-0.240005,-0.212313,-0.173411,-0.293382
0,-0.616452,0.088486,-0.098845,-0.400056,-0.649181,-0.572263,-0.652724,-0.221191,-0.213588,-0.211606,0.044295,-0.314136,-0.293382
